,Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio
1,2020,Data Scientist,MI,FT,"6,352,272.00",DE,DE,L,NaN
2,2020,Machine Learning Scientist,SE,FT,"20,688,070.00",JP,JP,S,NaN
3,2020,Big Data Engineer,SE,FT,"8,674,985.00",GB,GB,M,50
4,2020,Product Data Analyst,MI,FT,"1,591,390.00",HN,HN,S,NaN
5,2020,Machine Learning Engineer,SE,FT,"11,935,425.00",US,US,L,50
6,2020,Data Analyst,EN,FT,"5,729,004.00",US,US,L,100
7,2020,Lead Data Scientist,SE,FT,"15,118,205.00",US,US,S,100
8,2020,Data Scientist,MI,FT,"2,843,416.00",HU,HU,L,50
9,2020,Business Data Analyst,MI,FT,"10,741,883.00",US,US,L,100
10,2020,Lead Data Engineer,SE,FT,"9,946,188.00",NZ,NZ,S,50
11,2020,Data Scientist,EN,FT,"4,083,586.00",FR,FR,S,NaN
12,2020,Data Scientist,MI,FT,"3,221,053.00",IN,IN,L,NaN
13,2020,Data Scientist,EN,FT,"3,176,096.00",FR,FR,M,NaN
14,2020,Lead Data Analyst,MI,FT,"6,922,547.00",US,US,L,100
15,2020,Data Analyst,MI,FT,"6,763,408.00",US,US,L,100
16,2020,Data Analyst,MI,FT,"636,556.00",PK,PK,L,50
17,2020,Data Engineer,EN,FT,"3,317,173.00",JP,JP,S,100
18,2020,Big Data Engineer,SE,FT,"9,074,663.00",PL,GB,S,100
19,2020,Data Science Consultant,EN,FT,"454,103.00",IN,IN,M,50
20,2020,Lead Data Engineer,MI,FT,"4,455,892.00",PT,US,M,100
21,2020,Machine Learning Engineer,MI,FT,"3,447,826.00",CN,CN,M,0
22,2020,Product Data Analyst,MI,FT,"483,146.00",IN,IN,L,100
23,2020,Data Engineer,SE,FT,"3,811,299.00",GR,GR,L,50
24,2020,BI Data Analyst,MI,FT,"7,797,811.00",US,US,M,NaN
25,2020,Lead Data Scientist,MI,FT,"9,150,493.00",AE,AE,L,NaN
26,2020,Director of Data Science,EX,FT,"25,860,088.00",US,US,L,100
27,2020,Research Scientist,EN,FT,"3,341,919.00",NL,NL,L,50
28,2020,Data Engineer,SE,FT,"2,666,454.00",MX,MX,S,NaN
29,2020,Business Data Analyst,EN,CT,"7,956,950.00",US,US,L,100
30,2020,Machine Learning Manager,SE,FT,"9,317,907.00",CA,CA,L,50
31,2020,Data Engineering Manager,MI,FT,"4,718,710.00",DE,DE,S,100
32,2020,Big Data Engineer,EN,FT,"5,569,865.00",US,US,L,100
33,2020,Data Scientist,SE,FT,"5,444,782.00",GR,US,L,100
34,2020,Research Scientist,MI,FT,"35,806,275.00",US,US,M,NaN
35,2020,Data Analyst,MI,FT,"3,720,590.00",FR,FR,L,50
36,2020,Data Engineer,MI,FT,"5,898,487.00",AT,AT,L,50
37,2020,Data Science Consultant,MI,FT,"8,195,659.00",US,US,L,100
38,2020,Machine Learning Engineer,EN,FT,"19,892,375.00",US,US,L,50
39,2020,Data Analyst,EN,FT,"795,695.00",NG,NG,S,100
40,2020,Machine Learning Engineer,EN,FT,"10,980,591.00",US,US,S,100
41,2020,Data Scientist,MI,FT,"3,641,100.00",PH,US,S,100
42,2020,Data Engineering Manager,EX,FT,"6,352,272.00",ES,ES,L,50
43,2020,Machine Learning Infrastructure Engineer,MI,FT,"3,992,798.00",PT,PT,M,0
44,2020,Data Engineer,MI,FT,"8,434,367.00",US,US,L,100
45,2020,Data Engineer,MI,FT,"8,981,169.00",GB,GB,L,50
46,2020,ML Engineer,EN,PT,"1,270,407.00",DE,DE,S,100
47,2020,Data Scientist,MI,FT,"6,123,510.00",GB,GB,S,100
48,2020,Data Engineer,SE,FT,"14,959,066.00",US,US,L,100
49,2020,Data Scientist,MI,FT,"8,354,798.00",US,US,L,100
50,2020,Data Engineer,MI,FT,"5,580,925.00",FR,FR,L,50
51,2020,Data Analyst,EN,FT,"483,146.00",IN,IN,S,NaN
52,2020,Data Analyst,EN,FT,"7,240,825.00",US,US,L,100
53,2020,AI Scientist,EN,FT,"3,651,922.00",DK,DK,S,50
54,2020,Data Engineer,EN,FT,"4,355,794.00",PK,DE,L,100
55,2020,Computer Vision Engineer,SE,FL,"4,774,170.00",RU,US,S,100
56,2020,Principal Data Scientist,SE,FT,"11,797,054.00",DE,DE,M,100
57,2020,Data Scientist,MI,FT,"3,085,387.00",ES,ES,M,100
58,2020,Data Scientist,MI,FT,"9,389,201.00",US,US,M,100
59,2020,Data Scientist,SE,FT,"9,548,340.00",US,US,L,50
60,2020,Data Scientist,MI,FT,"11,008,440.00",US,US,M,100
61,2020,Data Engineer,MI,FT,"8,752,645.00",US,US,L,100
62,2020,Data Engineer,MI,FT,"10,407,691.00",ES,US,M,100
63,2020,Data Scientist,EN,PT,"1,724,191.00",IT,IT,S,50
64,2020,Data Scientist,SE,FT,"32,782,634.00",US,US,L,100
65,2020,Machine Learning Engineer,SE,FT,"3,629,801.00",HR,HR,S,100
66,2020,Data Scientist,EN,FT,"4,991,076.00",DE,DE,S,50
67,2020,Data Scientist,EN,FT,"3,920,230.00",DE,DE,S,NaN
68,2020,Data Science Manager,SE,FT,"15,134,119.00",US,US,M,100
69,2020,Data Scientist,EN,FT,"8,354,798.00",US,US,S,100
70,2020,Data Scientist,SE,FT,"7,259,682.00",AT,AT,S,NaN
71,2020,Data Scientist,MI,FT,"4,991,076.00",FR,LU,S,50
